,review,stars
448,Very light weight n comfortable! value for money!,5.0
449,,3.0
450,Good,5.0
451,Size is not adequate,2.0
452,Bahut acha shoes haiMarket me nhi milega,5.0
453,I like this product,5.0
454,GOOD PRODUCT,5.0
455,Damage and used product,5.0
456,The product is greatWorth the price,5.0
457,Value for money 💰Superb quality 👌Superb comfort 👌Super soft insoles 👍,5.0
458,Very good and cofertable product,5.0
459,Good👍Very nice,5.0
460,Lelo bhai comfortable bhot hain VFM,5.0
461,Good Product with reasonable price,5.0
462,Go for it ❤️,5.0
463,Light but insole not that good n material is not flexible.  Average quality,3.0
464,"This shoes are very light weight and comfortable to use, this is the best product for this price, I'm so happy",5.0
465,The shoe is comfortable & excellent quality. Packaging is good and attractive....,5.0
466,Awesome product,5.0
467,Like,5.0
468,I like it,5.0
469,Inner box is ok but outer Amazon packing is very bad.,5.0
470,Ery light weight  and comfortable  and value for money,5.0
471,Super lightweight. The quality is also good. And the memory foam used inside are so soft to the feet. Can wear it for long hours without any discomfort.,5.0
472,"Both sole are not completely equal, finishing is not good.",2.0
473,They are too light weight....initially I was not comfortable...but now it's very OK,4.0
474,,5.0
475,"Thanks to Amazon delivery, I received my order on the same day. The shoe is quite comfortable and is a good value for money. Overall a decent but.",4.0
476,Good,5.0
477,"Comfortable shoes , quality also good",4.0
478,,2.0
479,"Budget shoes but no compromise with qualityCampus is just Indian Nike brands , this brand provide next level quality in budgetSupport Indian brand Just like campus",2.0
480,"The media could not be loaded.
                



 Please shoes shol provide greepy beacouse sometime sleeping",4.0
481,The fit and comfort is so great that we ordered two more (for different people),5.0
482,My views It's perfect,5.0
483,This shoes very comfortable and good,5.0
484,Next level of comfort 💕,5.0
485,"Shoes are nice, looks good and comfortable....however shoes were little bit defective glue marks gaps can be seen seems returned product. I was in need hence do not return....for 600 to 700 range its a good buy",3.0
486,Very good product and comfortable.,5.0
487,Just for walking ok. After few days of use shoes  are out of shape.,3.0
488,This is the good work for walking,5.0
